word,aqua #00ffff,black #000000,blue #0000ff,brown #A52A2A,fuchsia #ff00ff,gold #ffd700,gray #808080,green #008000,lime #00ff00,maroon #800000,navy #000080,olive #808000,orange #ffa500,purple #800080,red #ff0000,silver #c0c0c0,teal #008080,white #ffffff,yellow #ffff00,Total Votes
abuse,0.88118249005117,24.019329164298,1.5065378055713,5.7134735645253,2.2455940875497,1.1370096645821,4.9459920409323,1.2507106310404,1.6202387720296,13.899943149517,2.4161455372371,3.0130756111427,1.7055144968732,3.6100056850483,26.662876634451,1.4496873223422,1.4212620807277,0.93803297328027,1.5633882888005,3518
accessible,6.3513979979289,2.8995512599241,12.702795995858,1.3807386952019,3.3482913358647,5.4193993786676,2.3472557818433,12.771832930618,11.667241974456,1.3462202278219,3.6934760096652,1.6223679668623,5.3503624439075,2.6234035208837,3.6244390749051,2.9685881946842,5.4884363134277,8.3879875733517,6.0062133241284,2897
addiction,1.9409282700422,18.931082981716,2.0815752461322,3.5161744022504,5.4571026722925,1.8284106891702,7.1448663853727,2.7848101265823,3.9943741209564,6.7791842475387,2.1659634317862,5.5414908579466,2.7285513361463,5.0351617440225,20.450070323488,1.9127988748242,1.9690576652602,2.0253164556962,3.7130801687764,3555
agile,12.300955414013,3.1050955414013,7.4442675159236,1.3335987261146,4.7372611464968,5.2149681528662,2.0501592356688,4.578025477707,12.858280254777,1.3136942675159,1.9108280254777,1.0350318471338,5.3941082802548,2.0501592356688,8.9968152866242,2.6074840764331,3.1847133757962,5.0955414012739,14.789012738854,5024
amusing,5.431368926658,1.6626639571402,3.7132828376132,1.1823388139664,19.083687419176,8.387215961574,1.2377609458711,2.1429891003141,9.9020875669684,1.2747090338075,0.88675411047478,0.62811749491964,8.8675411047478,4.0827637169776,8.0177350822095,0.64659153888786,1.4409754295215,0.83133197857011,20.580084980602,5413
anger,0.46136101499423,5.4786620530565,1.2110726643599,5.7093425605536,1.3264129181084,0.92272202998847,0.80738177623991,0.98039215686275,1.2687427912341,9.3425605536332,0.51903114186851,0.63437139561707,1.9031141868512,0.92272202998847,64.590542099193,0.74971164936563,1.038062283737,0.74971164936563,1.3840830449827,1734
anticipation,7.4984247006931,2.0163831127914,5.7340894770006,2.1424070573409,6.364209199748,8.5696282293636,2.8985507246377,4.1587901701323,4.8519218651544,3.5916824196597,3.6546943919345,1.8273471959672,9.5148078134846,4.9779458097038,9.9558916194077,3.0245746691871,5.166981726528,4.3478260869565,9.7038437303088,1587
art deco,5.374562856617,7.0495122400147,3.5339591385975,5.3929688937972,8.1906865451868,5.3009387078962,5.7610896374011,3.4235229155163,3.4603349898767,4.5462911835082,2.5584391680471,5.1352843732744,8.393152954169,6.4421130130683,6.0187741579238,4.527885146328,6.4973311246089,4.2333885514449,4.1597644027241,5433
authentic,2.5613430908308,8.0068876452863,8.437365475678,4.5200172191132,2.5398191993112,4.0034438226431,4.6276366767111,8.2866982350409,3.1640120533793,5.3379250968575,10.439087387,4.0034438226431,4.6491605682307,3.4007748600947,4.4123977615153,2.4106758501937,4.0895393887215,12.225570383125,2.8842014636246,4646
authority,0.90768636539204,21.726535341831,6.2186172267285,2.4913093858633,1.3904982618772,1.1201235998455,6.9331788335265,2.3174971031286,0.90768636539204,8.5361143298571,18.443414445732,1.5063731170336,1.0235612205485,3.9783700270375,16.57010428737,1.4098107377366,1.429123213596,1.6029354963306,1.4870606411742,5178
average,1.3530655391121,2.5158562367865,4.6088794926004,4.4397463002114,1.2473572938689,2.8964059196617,24.862579281184,5.5602536997886,1.5644820295983,1.7970401691332,3.3615221987315,5.5179704016913,5.3276955602537,1.5644820295983,2.6215644820296,18.541226215645,4.3763213530655,5.1162790697674,2.7272727272727,4730
baby,31.839309428951,1.195219123506,3.3864541832669,0.79681274900398,20.252324037185,4.1832669322709,1.062416998672,1.394422310757,1.859229747676,0.86321381142098,0.86321381142098,0.83001328021248,2.6892430278884,1.660026560425,1.925630810093,1.4276228419655,2.0252324037185,13.877822045153,7.8685258964143,3012
beach,21.366756192181,1.3130408833184,7.9677708146822,0.5669949268875,1.1041480155178,22.799164428529,1.0444643390033,0.71620411817368,0.74604595643092,0.77588779468815,2.0292450014921,1.4025663980901,12.175470008953,0.5669949268875,1.1936735302895,0.86541330945986,4.0584900029842,2.6857654431513,16.621903909281,3351
beauty,5.9398768562115,3.1510322346976,5.5595798623687,3.3502354219486,22.455632017385,3.1872509960159,1.4306410720753,3.1691416153568,2.6439695762405,3.6399855124955,2.6620789568997,0.76059398768562,2.8431727634915,12.803332126041,8.5295182904745,0.92357841361825,3.6762042738138,9.181455994205,4.092720028975,5522
beer,0.74772431729519,2.2756827048114,1.4304291287386,4.6488946684005,1.072821846554,24.837451235371,1.7880364109233,2.7308192457737,1.1378413524057,4.9089726918075,1.0078023407022,8.1274382314694,32.802340702211,1.2028608582575,2.0481144343303,1.8205461638492,0.71521456436931,0.78023407022107,5.9167750325098,3076
benign,7.0764617691154,4.0179910044978,4.047976011994,2.3088455772114,3.4182908545727,3.808095952024,6.1469265367316,8.4257871064468,7.5862068965517,2.1289355322339,2.3388305847076,4.527736131934,4.4977511244378,2.2788605697151,2.3988005997002,11.274362818591,5.3073463268366,14.032983508246,4.3778110944528,3335
bitter,1.3196875841637,10.153514678158,1.3196875841637,5.4942095340695,2.0468623754377,4.7401023431188,5.6558039321304,4.416913546997,6.4907083221115,7.0293563156477,2.0737947751145,22.434688930784,5.709668731484,2.9356315647724,4.847831941826,1.427417182871,3.1510907621869,1.1042283867493,7.6488015082144,3713
blend,2.5788937902952,4.3434000678656,2.1717000339328,6.0739735324058,3.39328130302,3.39328130302,10.111978283,4.3094672548354,2.1038344078724,4.0380047505938,1.8323719036308,16.185951815405,8.4492704445199,6.2097047845266,2.2395656599932,6.8883610451306,9.2975907702749,4.5469969460468,1.8323719036308,2947
blissful,15.230683713174,1.408189735038,5.7995182508801,1.4267185473411,14.952751528627,6.5777283676116,1.3340744858255,2.7422642208634,4.8174911988142,1.2043727997035,2.0381693533445,0.53733555679081,4.9842505095423,3.8539929590513,4.9286640726329,1.2599592366129,4.0207522697795,6.485084306096,16.397998888271,5397
bold,1.9017980636238,18.81051175657,6.3969571230982,1.7116182572614,5.7918395573997,1.6251728907331,2.3858921161826,1.7461964038728,3.5961272475795,5.7745504840941,4.4087136929461,0.98547717842324,2.6452282157676,2.83540802213,29.754495159059,1.2793914246196,1.1583679114799,2.0746887966805,5.1175656984786,5784
book,1.2074425969913,7.0071258907363,4.6516231195566,10.688836104513,1.2272367379256,2.4940617577197,6.076801266825,5.5621536025336,1.3460015835313,11.658749010293,5.8392715756136,7.8384798099762,4.5130641330166,1.9200316706255,2.1377672209026,5.8788598574822,3.9984164687253,14.291369754553,1.6627078384798,5052
boss,1.1347910323831,23.000276778301,5.0927207306947,3.9302518682535,1.7160254636037,1.3285358427899,10.074730141157,2.7954608358705,1.2455023526156,8.303349017437,13.700525878771,2.1865485745918,2.1588707445336,3.3766952670911,12.621090506504,1.9097702740105,2.241904234708,1.6606698034874,1.5222806531968,3613
brooklyn,1.0811873402791,11.264006290545,3.9709062315707,8.0990760762729,1.7495576960881,1.7495576960881,24.159622567328,3.7939846667977,1.4940043247494,9.180263416552,5.2093571849813,7.3520739138982,3.4597994888933,2.8110870847258,3.6170631020248,4.9341458620012,3.2042461175546,1.1008452919206,1.7692156477295,5087
busy,2.1033653846154,5.4487179487179,5.0080128205128,3.4455128205128,4.9078525641026,3.2451923076923,7.3317307692308,1.7427884615385,5.8293269230769,6.0096153846154,4.0865384615385,1.8028846153846,5.1282051282051,2.5641025641026,27.183493589744,2.0032051282051,2.1634615384615,1.0016025641026,8.994391025641,4992
